Municipio,Año,Código,Concepto,Aprobado,Devengado,Observaciones
Atizapan de Zaragoza,2021,COG56,"Maquinaria, Otros Equipos y Herramientas",1604500.00,43783183.38,x
Atizapan de Zaragoza,2021,COG57,Activos Biológicos,0.00,0.00,x
Atizapan de Zaragoza,2021,COG58,Bienes Inmuebles,0.00,0.00,x
Atizapan de Zaragoza,2021,COG59,Activos Intangibles,775000.00,1786795.20,x
Atizapan de Zaragoza,2021,COG06,Inversión Pública,209627972.30,177418149.00,x
Atizapan de Zaragoza,2021,COG61,Obra Pública en Bienes de Dominio Público,103959814.60,83482179.84,x
Atizapan de Zaragoza,2021,COG62,Obra Pública en Bienes Propios,105668157.70,93935969.19,x
Atizapan de Zaragoza,2021,COG63,Proyectos Productivos y Acciones de Fomento,0.00,0.00,x
Atizapan de Zaragoza,2021,COG07,Inversiones Financieras y Otras Provisiones,0.00,0.00,x
Atizapan de Zaragoza,2021,COG71,Inversiones para el Fomento de Actividades Productivas,0.00,0.00,x
Atizapan de Zaragoza,2021,COG72,Acciones y Participaciones de Capital,0.00,0.00,x
Atizapan de Zaragoza,2021,COG73,Compra de Títulos y Valores,0.00,0.00,x
Atizapan de Zaragoza,2021,COG74,Concesión de Préstamos,0.00,0.00,x
Atizapan de Zaragoza,2021,COG75,"Inversiones de Fideicomisos, Mandatos y Otros Análogos",0.00,0.00,x
Atizapan de Zaragoza,2021,COG76,Otras Inversiones Financieras,0.00,0.00,x
Atizapan de Zaragoza,2021,COG78,Provisiones para Contingencias y Otras Erogaciones Especiales,0.00,0.00,x
Atizapan de Zaragoza,2021,COG08,Participaciones y Aportaciones,0.00,0.00,x
Atizapan de Zaragoza,2021,COG81,Participaciones,0.00,0.00,x
Atizapan de Zaragoza,2021,COG82,Aportaciones,0.00,0.00,x
Atizapan de Zaragoza,2021,COG83,Convenios,0.00,0.00,x
Atizapan de Zaragoza,2021,COG09,Deuda Pública,326032224.70,312212948.20,x
Atizapan de Zaragoza,2021,COG91,Amortización de la Deuda Pública,138617444.80,243868220.60,x
Atizapan de Zaragoza,2021,COG92,Intereses de la Deuda Pública,43339147.00,28535887.82,x
Atizapan de Zaragoza,2021,COG93,Comisiones de la Deuda Pública,0.00,1539378.00,x
Atizapan de Zaragoza,2021,COG94,Gastos de la Deuda Pública,0.00,0.00,x
Atizapan de Zaragoza,2021,COG95,Costo por Coberturas,0.00,0.00,x
Atizapan de Zaragoza,2021,COG96,Apoyos Financieros,0.00,0.00,x
Atizapan de Zaragoza,2021,COG97,Adeudos de Ejercicios Fiscales Anteriores (ADEFAS)1,144075632.90,38269461.79,x
Atizapan de Zaragoza,2021,COGTOT,Total del Gasto,2905242206.00,2847082534.00,x
Campeche,2021,COG01,Servicios Personales,610324148.00,555533853.00,x
Campeche,2021,COG11,Remuneraciones al Personal  de Carácter Permanente,139963777.00,127572621.00,x
Campeche,2021,COG12,Remuneraciones al Personal  de Carácter Transitorio,190820104.00,201620991.00,x
Campeche,2021,COG13,Remuneraciones Adicionales y Especiales,142700734.00,127616880.00,x
Campeche,2021,COG14,Seguridad Social,78716965.00,65582102.00,x
Campeche,2021,COG15,Otras Prestaciones Sociales y Económicas,28252396.00,28426204.00,x
Campeche,2021,COG16,Previsiones,18097188.00,0.00,x
Campeche,2021,COG17,Pago de Estímulos a Servidores Públicos,11772984.00,4715055.00,x
Campeche,2021,COG02,Materiales y Suministros,80901312.00,90535065.00,x
Campeche,2021,COG21,"Materiales de Administración, Emisión de Documentos y Artículos Oficiales",9161896.00,5054431.00,x
Campeche,2021,COG22,Alimentos y Utensilios,777183.00,1056912.00,x
Campeche,2021,COG23,Materias Primas y Materiales de Producción y Comercialización,0.00,435.00,x
Campeche,2021,COG24,Materiales y Artículos de Construcción y Reparación,44169691.00,56557264.00,x
